"","sovereignt","type","admin","geounit","subunit","name","name_long","brk_name","formal_en","name_sort"
"209","Syria","Sovereign country","Syria","Syria","Syria","Syria","Syria","Syria","Syrian Arab Republic","Syrian Arab Republic"
"210","United Kingdom","Dependency","Turks and Caicos Islands","Turks and Caicos Islands","Turks and Caicos Islands","Turks and Caicos Is.","Turks and Caicos Islands","Turks and Caicos Is.","Turks and Caicos Islands","Turks and Caicos Islands"
"211","Chad","Sovereign country","Chad","Chad","Chad","Chad","Chad","Chad","Republic of Chad","Chad"
"212","Togo","Sovereign country","Togo","Togo","Togo","Togo","Togo","Togo","Togolese Republic","Togo"
"213","Thailand","Sovereign country","Thailand","Thailand","Thailand","Thailand","Thailand","Thailand","Kingdom of Thailand","Thailand"
"214","Tajikistan","Sovereign country","Tajikistan","Tajikistan","Tajikistan","Tajikistan","Tajikistan","Tajikistan","Republic of Tajikistan","Tajikistan"
"215","Turkmenistan","Sovereign country","Turkmenistan","Turkmenistan","Turkmenistan","Turkmenistan","Turkmenistan","Turkmenistan","Turkmenistan","Turkmenistan"
"216","East Timor","Sovereign country","East Timor","East Timor","East Timor","Timor-Leste","Timor-Leste","Timor-Leste","Democratic Republic of Timor-Leste","Timor-Leste"
"217","Tonga","Sovereign country","Tonga","Tonga","Tonga","Tonga","Tonga","Tonga","Kingdom of Tonga","Tonga"
"218","Trinidad and Tobago","Sovereign country","Trinidad and Tobago","Trinidad and Tobago","Trinidad and Tobago","Trinidad and Tobago","Trinidad and Tobago","Trinidad and Tobago","Republic of Trinidad and Tobago","Trinidad and Tobago"
"219","Tunisia","Sovereign country","Tunisia","Tunisia","Tunisia","Tunisia","Tunisia","Tunisia","Republic of Tunisia","Tunisia"
"220","Turkey","Sovereign country","Turkey","Turkey","Turkey","Turkey","Turkey","Turkey","Republic of Turkey","Turkey"
"221","Taiwan","Sovereign country","Taiwan","Taiwan","Taiwan","Taiwan","Taiwan","Taiwan",NA,"Taiwan"
"222","United Republic of Tanzania","Sovereign country","United Republic of Tanzania","Tanzania","Tanzania","Tanzania","Tanzania","Tanzania","United Republic of Tanzania","Tanzania"
"223","Uganda","Sovereign country","Uganda","Uganda","Uganda","Uganda","Uganda","Uganda","Republic of Uganda","Uganda"
"224","Ukraine","Sovereign country","Ukraine","Ukraine","Ukraine","Ukraine","Ukraine","Ukraine","Ukraine","Ukraine"
"225","Uruguay","Sovereign country","Uruguay","Uruguay","Uruguay","Uruguay","Uruguay","Uruguay","Oriental Republic of Uruguay","Uruguay"
"226","United States of America","Country","United States of America","United States of America","United States of America","United States","United States","United States","United States of America","United States of America"
"227","Uzbekistan","Sovereign country","Uzbekistan","Uzbekistan","Uzbekistan","Uzbekistan","Uzbekistan","Uzbekistan","Republic of Uzbekistan","Uzbekistan"
"228","Vatican","Sovereign country","Vatican","Vatican","Vatican","Vatican","Vatican","Vatican","State of the Vatican City","Vatican (Holy Sea)"
"229","Saint Vincent and the Grenadines","Sovereign country","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","St. Vin. and Gren.","Saint Vincent and the Grenadines","St. Vin. and Gren.","Saint Vincent and the Grenadines","St. Vincent and the Grenadines"
"230","Venezuela","Sovereign country","Venezuela","Venezuela","Venezuela","Venezuela","Venezuela","Venezuela","Bolivarian Republic of Venezuela","Venezuela, RB"
"231","United Kingdom","Dependency","British Virgin Islands","British Virgin Islands","British Virgin Islands","British Virgin Is.","British Virgin Islands","British Virgin Is.","British Virgin Islands","British Virgin Islands"
"232","United States of America","Dependency","United States Virgin Islands","United States Virgin Islands","United States Virgin Islands","U.S. Virgin Is.","United States Virgin Islands","U.S. Virgin Is.","Virgin Islands of the United States","Virgin Islands (U.S.)"
"233","Vietnam","Sovereign country","Vietnam","Vietnam","Vietnam","Vietnam","Vietnam","Vietnam","Socialist Republic of Vietnam","Vietnam"
"234","Vanuatu","Sovereign country","Vanuatu","Vanuatu","Vanuatu","Vanuatu","Vanuatu","Vanuatu","Republic of Vanuatu","Vanuatu"
"235","France","Dependency","Wallis and Futuna","Wallis and Futuna","Wallis and Futuna","Wallis and Futuna Is.","Wallis and Futuna Islands","Wallis and Futuna Islands","Wallis and Futuna Islands","Wallis and Futuna"
"236","Samoa","Sovereign country","Samoa","Samoa","Samoa","Samoa","Samoa","Samoa","Independent State of Samoa","Samoa"
"237","Yemen","Sovereign country","Yemen","Yemen","Yemen","Yemen","Yemen","Yemen","Republic of Yemen","Yemen, Rep."
"238","South Africa","Sovereign country","South Africa","South Africa","South Africa","South Africa","South Africa","South Africa","Republic of South Africa","South Africa"
"239","Zambia","Sovereign country","Zambia","Zambia","Zambia","Zambia","Zambia","Zambia","Republic of Zambia","Zambia"
"240","Zimbabwe","Sovereign country","Zimbabwe","Zimbabwe","Zimbabwe","Zimbabwe","Zimbabwe","Zimbabwe","Republic of Zimbabwe","Zimbabwe"
