"","sovereignt","type","admin","geounit","subunit","name","name_long","brk_name","formal_en","name_sort"
"70","Fiji","Sovereign country","Fiji","Fiji","Fiji","Fiji","Fiji","Fiji","Republic of Fiji","Fiji"
"71","United Kingdom","Dependency","Falkland Islands","Falkland Islands","Falkland Islands","Falkland Is.","Falkland Islands","Falkland Is.","Falkland Islands","Falkland Islands"
"72","France","Country","France","France","France","France","France","France","French Republic","France"
"73","Denmark","Dependency","Faroe Islands","Faroe Islands","Faroe Islands","Faeroe Is.","Faeroe Islands","Faeroe Islands","Føroyar Is. (Faeroe Is.)","Faeroe Islands"
"74","Federated States of Micronesia","Sovereign country","Federated States of Micronesia","Federated States of Micronesia","Federated States of Micronesia","Micronesia","Federated States of Micronesia","Micronesia","Federated States of Micronesia","Micronesia, Federated States of"
"75","Gabon","Sovereign country","Gabon","Gabon","Gabon","Gabon","Gabon","Gabon","Gabonese Republic","Gabon"
"76","United Kingdom","Country","United Kingdom","United Kingdom","United Kingdom","United Kingdom","United Kingdom","United Kingdom","United Kingdom of Great Britain and Northern Ireland","United Kingdom"
"77","Georgia","Sovereign country","Georgia","Georgia","Georgia","Georgia","Georgia","Georgia","Georgia","Georgia"
"78","United Kingdom","Country","Guernsey","Guernsey","Guernsey","Guernsey","Guernsey","Guernsey","Bailiwick of Guernsey","Guernsey"
"79","Ghana","Sovereign country","Ghana","Ghana","Ghana","Ghana","Ghana","Ghana","Republic of Ghana","Ghana"
"80","Guinea","Sovereign country","Guinea","Guinea","Guinea","Guinea","Guinea","Guinea","Republic of Guinea","Guinea"
"81","Gambia","Sovereign country","Gambia","Gambia","Gambia","Gambia","The Gambia","Gambia","Republic of the Gambia","Gambia, The"
"82","Guinea Bissau","Sovereign country","Guinea Bissau","Guinea Bissau","Guinea Bissau","Guinea-Bissau","Guinea-Bissau","Guinea-Bissau","Republic of Guinea-Bissau","Guinea-Bissau"
"83","Equatorial Guinea","Sovereign country","Equatorial Guinea","Equatorial Guinea","Equatorial Guinea","Eq. Guinea","Equatorial Guinea","Eq. Guinea","Republic of Equatorial Guinea","Equatorial Guinea"
"84","Greece","Sovereign country","Greece","Greece","Greece","Greece","Greece","Greece","Hellenic Republic","Greece"
"85","Grenada","Sovereign country","Grenada","Grenada","Grenada","Grenada","Grenada","Grenada","Grenada","Grenada"
"86","Denmark","Country","Greenland","Greenland","Greenland","Greenland","Greenland","Greenland","Greenland","Greenland"
"87","Guatemala","Sovereign country","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Republic of Guatemala","Guatemala"
"88","United States of America","Dependency","Guam","Guam","Guam","Guam","Guam","Guam","Territory of Guam","Guam"
"89","Guyana","Sovereign country","Guyana","Guyana","Guyana","Guyana","Guyana","Guyana","Co-operative Republic of Guyana","Guyana"
"90","China","Country","Hong Kong S.A.R.","Hong Kong S.A.R.","Hong Kong S.A.R.","Hong Kong","Hong Kong","Hong Kong","Hong Kong Special Administrative Region, PRC","Hong Kong SAR, China"
"91","Australia","Dependency","Heard Island and McDonald Islands","Heard Island and McDonald Islands","Heard Island and McDonald Islands","Heard I. and McDonald Is.","Heard I. and McDonald Islands","Heard I. and McDonald Is.","Territory of Heard Island and McDonald Islands","Heard Island and McDonald Islands"
"92","Honduras","Sovereign country","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Republic of Honduras","Honduras"
"93","Croatia","Sovereign country","Croatia","Croatia","Croatia","Croatia","Croatia","Croatia","Republic of Croatia","Croatia"
"94","Haiti","Sovereign country","Haiti","Haiti","Haiti","Haiti","Haiti","Haiti","Republic of Haiti","Haiti"
"95","Hungary","Sovereign country","Hungary","Hungary","Hungary","Hungary","Hungary","Hungary","Republic of Hungary","Hungary"
"96","Indonesia","Sovereign country","Indonesia","Indonesia","Indonesia","Indonesia","Indonesia","Indonesia","Republic of Indonesia","Indonesia"
"97","United Kingdom","Country","Isle of Man","Isle of Man","Isle of Man","Isle of Man","Isle of Man","Isle of Man",NA,"Isle of Man"
"98","India","Sovereign country","India","India","India","India","India","India","Republic of India","India"
"99","Australia","Dependency","Indian Ocean Territories","Indian Ocean Territories","Indian Ocean Territories","Indian Ocean Ter.","Indian Ocean Territories","Indian Ocean Ter.",NA,"Indian Ocean Territories"
"100","United Kingdom","Dependency","British Indian Ocean Territory","British Indian Ocean Territory","British Indian Ocean Territory","Br. Indian Ocean Ter.","British Indian Ocean Territory","Br. Indian Ocean Ter.",NA,"British Indian Ocean Territory"
"101","Ireland","Sovereign country","Ireland","Ireland","Ireland","Ireland","Ireland","Ireland","Ireland","Ireland"
"102","Iran","Sovereign country","Iran","Iran","Iran","Iran","Iran","Iran","Islamic Republic of Iran","Iran, Islamic Rep."
"103","Iraq","Sovereign country","Iraq","Iraq","Iraq","Iraq","Iraq","Iraq","Republic of Iraq","Iraq"
"104","Iceland","Sovereign country","Iceland","Iceland","Iceland","Iceland","Iceland","Iceland","Republic of Iceland","Iceland"
"105","Israel","Sovereign country","Israel","Israel","Israel","Israel","Israel","Israel","State of Israel","Israel"
"106","Italy","Sovereign country","Italy","Italy","Italy","Italy","Italy","Italy","Italian Republic","Italy"
"107","Jamaica","Sovereign country","Jamaica","Jamaica","Jamaica","Jamaica","Jamaica","Jamaica","Jamaica","Jamaica"
"108","United Kingdom","Country","Jersey","Jersey","Jersey","Jersey","Jersey","Jersey","Bailiwick of Jersey","Jersey"
"109","Jordan","Sovereign country","Jordan","Jordan","Jordan","Jordan","Jordan","Jordan","Hashemite Kingdom of Jordan","Jordan"
"110","Japan","Sovereign country","Japan","Japan","Japan","Japan","Japan","Japan","Japan","Japan"
"111","Kashmir","Indeterminate","Siachen Glacier","Siachen Glacier","Siachen Glacier","Siachen Glacier","Siachen Glacier","Siachen Glacier",NA,"Kashmir"
"112","Kazakhstan","Sovereign country","Kazakhstan","Kazakhstan","Kazakhstan","Kazakhstan","Kazakhstan","Kazakhstan","Republic of Kazakhstan","Kazakhstan"
"113","Kenya","Sovereign country","Kenya","Kenya","Kenya","Kenya","Kenya","Kenya","Republic of Kenya","Kenya"
"114","Kyrgyzstan","Sovereign country","Kyrgyzstan","Kyrgyzstan","Kyrgyzstan","Kyrgyzstan","Kyrgyzstan","Kyrgyzstan","Kyrgyz Republic","Kyrgyz Republic"
